,index,year,day,date,oTime,pTime,sTime,spTime,distance,quality,type,oTimeUTC,endTime,max_of_dur_cont
120,124,2013,207,2013-07-26,00:10:09.946,00:10:45.000,00:11:11.000,26.0,226.0908,C,L,2013-07-26T00:10:09.946000Z,2013-07-26T00:11:43.945000Z,0 days 00:01:33.999000
121,125,2013,198,2013-07-17,06:18:43.040,06:19:12.700,06:19:34.699,21.999,187.54934,A,L,2013-07-17T06:18:43.040000Z,2013-07-17T06:20:10.339000Z,0 days 00:01:30
122,126,2013,187,2013-07-06,04:12:01.870,04:12:5.005,04:12:7.330,2.325,17.87284,A,L,2013-07-06T04:12:01.870000Z,2013-07-06T04:12:20.665000Z,0 days 00:01:30
123,127,2013,183,2013-07-02,10:45:24.095,10:47:7.369,10:48:23.970,76.601,831.22829,A,R,2013-07-02T10:45:24.095000Z,2013-07-02T10:51:44.726000Z,0 days 00:06:20.631000
124,128,2013,180,2013-06-29,23:55:09.617,23:55:43.434,23:56:8.524,25.086,217.16547,A,R,2013-06-29T23:55:09.617000Z,2013-06-29T23:55:59.734000Z,0 days 00:01:30
125,129,2013,173,2013-06-22,18:02:52.749,18:02:54.677,18:02:56.107,1.43,10.93824,B,L,2013-06-22T18:02:52.749000Z,2013-06-22T18:03:12.371000Z,0 days 00:01:30
126,130,2013,173,2013-06-22,08:41:05.108,08:42:35.625,08:43:42.762,67.139,701.48547,A,R,2013-06-22T08:41:05.108000Z,2013-06-22T08:46:28.483000Z,0 days 00:05:23.375000
127,131,2013,157,2013-06-06,11:53:45.394,11:55:10.802,11:56:14.151,63.349,651.66276,A,R,2013-06-06T11:53:45.394000Z,2013-06-06T11:55:26.291000Z,0 days 00:01:40.897000
128,132,2013,153,2013-06-02,02:47:58.705,02:49:0.393,02:49:46.149,45.756,436.39191,B,R,2013-06-02T02:47:58.705000Z,2013-06-02T02:53:06.311000Z,0 days 00:05:07.606000
129,133,2013,143,2013-05-23,14:09:04.394,14:10:28.333,14:11:30.593,62.26,637.57204,,R,2013-05-23T14:09:04.394000Z,2013-05-23T14:14:27.624000Z,0 days 00:05:23.230000
130,134,2013,141,2013-05-21,02:20:00.894,02:20:21.050,02:20:36.000,14.95,122.9648,C,L,2013-05-21T02:20:00.894000Z,2013-05-21T02:21:09.844000Z,0 days 00:01:30
131,135,2013,134,2013-05-14,13:51:56.521,13:52:9.100,13:52:18.430,9.33,74.50619,A,L,2013-05-14T13:51:56.521000Z,2013-05-14T13:52:36.523000Z,0 days 00:01:30
132,136,2013,131,2013-05-11,04:42:36.583,04:43:31.468,04:44:12.178,40.709,379.50555,B,R,2013-05-11T04:42:36.583000Z,2013-05-11T04:46:40.114000Z,0 days 00:04:03.531000
133,137,2013,124,2013-05-04,15:25:06.474,15:25:35.191,15:25:56.491,21.3,180.95585,C,L,2013-05-04T15:25:06.474000Z,2013-05-04T15:26:35.282000Z,0 days 00:01:30
134,138,2013,118,2013-04-28,16:31:05.251,16:32:39.301,16:33:49.058,69.758,736.63434,B,R,2013-04-28T16:31:05.251000Z,2013-04-28T16:32:41.450000Z,0 days 00:01:36.199000
135,139,2013,118,2013-04-28,04:50:05.310,04:51:33.928,04:52:39.657,65.73,682.82898,B,R,2013-04-28T04:50:05.310000Z,2013-04-28T04:51:38.532000Z,0 days 00:01:33.222000
136,140,2013,113,2013-04-23,00:47:31.220,00:48:50.182,00:49:48.750,58.568,590.55267,C,R,2013-04-23T00:47:31.220000Z,2013-04-23T00:53:37.037000Z,0 days 00:06:05.817000
